Code,Name,dispCode,updatedCode
U+1F449,backhand index pointing right,U0001F449,U0001F449
U+1F449 U+1F3FB,backhand index pointing right: light skin tone,U0001F449 U0001F3FB,U0001F449 U0001F3FB
U+1F449 U+1F3FC,backhand index pointing right: medium-light skin tone,U0001F449 U0001F3FC,U0001F449 U0001F3FC
U+1F449 U+1F3FD,backhand index pointing right: medium skin tone,U0001F449 U0001F3FD,U0001F449 U0001F3FD
U+1F449 U+1F3FE,backhand index pointing right: medium-dark skin tone,U0001F449 U0001F3FE,U0001F449 U0001F3FE
U+1F449 U+1F3FF,backhand index pointing right: dark skin tone,U0001F449 U0001F3FF,U0001F449 U0001F3FF
U+261D,index pointing up,U000261D,U0000261D
U+261D U+1F3FB,index pointing up: light skin tone,U000261D U0001F3FB,U0000261D U0001F3FB
U+261D U+1F3FC,index pointing up: medium-light skin tone,U000261D U0001F3FC,U0000261D U0001F3FC
U+261D U+1F3FD,index pointing up: medium skin tone,U000261D U0001F3FD,U0000261D U0001F3FD
U+261D U+1F3FE,index pointing up: medium-dark skin tone,U000261D U0001F3FE,U0000261D U0001F3FE
U+261D U+1F3FF,index pointing up: dark skin tone,U000261D U0001F3FF,U0000261D U0001F3FF
U+1F446,backhand index pointing up,U0001F446,U0001F446
U+1F446 U+1F3FB,backhand index pointing up: light skin tone,U0001F446 U0001F3FB,U0001F446 U0001F3FB
U+1F446 U+1F3FC,backhand index pointing up: medium-light skin tone,U0001F446 U0001F3FC,U0001F446 U0001F3FC
U+1F446 U+1F3FD,backhand index pointing up: medium skin tone,U0001F446 U0001F3FD,U0001F446 U0001F3FD
U+1F446 U+1F3FE,backhand index pointing up: medium-dark skin tone,U0001F446 U0001F3FE,U0001F446 U0001F3FE
U+1F446 U+1F3FF,backhand index pointing up: dark skin tone,U0001F446 U0001F3FF,U0001F446 U0001F3FF
U+1F595,middle finger,U0001F595,U0001F595
U+1F595 U+1F3FB,middle finger: light skin tone,U0001F595 U0001F3FB,U0001F595 U0001F3FB
U+1F595 U+1F3FC,middle finger: medium-light skin tone,U0001F595 U0001F3FC,U0001F595 U0001F3FC
U+1F595 U+1F3FD,middle finger: medium skin tone,U0001F595 U0001F3FD,U0001F595 U0001F3FD
U+1F595 U+1F3FE,middle finger: medium-dark skin tone,U0001F595 U0001F3FE,U0001F595 U0001F3FE
U+1F595 U+1F3FF,middle finger: dark skin tone,U0001F595 U0001F3FF,U0001F595 U0001F3FF
U+1F447,backhand index pointing down,U0001F447,U0001F447
U+1F447 U+1F3FB,backhand index pointing down: light skin tone,U0001F447 U0001F3FB,U0001F447 U0001F3FB
U+1F447 U+1F3FC,backhand index pointing down: medium-light skin tone,U0001F447 U0001F3FC,U0001F447 U0001F3FC
U+1F447 U+1F3FD,backhand index pointing down: medium skin tone,U0001F447 U0001F3FD,U0001F447 U0001F3FD
U+1F447 U+1F3FE,backhand index pointing down: medium-dark skin tone,U0001F447 U0001F3FE,U0001F447 U0001F3FE
U+1F447 U+1F3FF,backhand index pointing down: dark skin tone,U0001F447 U0001F3FF,U0001F447 U0001F3FF
U+270C,victory hand,U000270C,U0000270C
U+270C U+1F3FB,victory hand: light skin tone,U000270C U0001F3FB,U0000270C U0001F3FB
U+270C U+1F3FC,victory hand: medium-light skin tone,U000270C U0001F3FC,U0000270C U0001F3FC
U+270C U+1F3FD,victory hand: medium skin tone,U000270C U0001F3FD,U0000270C U0001F3FD
U+270C U+1F3FE,victory hand: medium-dark skin tone,U000270C U0001F3FE,U0000270C U0001F3FE
U+270C U+1F3FF,victory hand: dark skin tone,U000270C U0001F3FF,U0000270C U0001F3FF
U+1F91E,crossed fingers,U0001F91E,U0001F91E
U+1F91E U+1F3FB,crossed fingers: light skin tone,U0001F91E U0001F3FB,U0001F91E U0001F3FB
U+1F91E U+1F3FC,crossed fingers: medium-light skin tone,U0001F91E U0001F3FC,U0001F91E U0001F3FC
U+1F91E U+1F3FD,crossed fingers: medium skin tone,U0001F91E U0001F3FD,U0001F91E U0001F3FD
U+1F91E U+1F3FE,crossed fingers: medium-dark skin tone,U0001F91E U0001F3FE,U0001F91E U0001F3FE
U+1F91E U+1F3FF,crossed fingers: dark skin tone,U0001F91E U0001F3FF,U0001F91E U0001F3FF
U+1F596,vulcan salute,U0001F596,U0001F596
U+1F596 U+1F3FB,vulcan salute: light skin tone,U0001F596 U0001F3FB,U0001F596 U0001F3FB
U+1F596 U+1F3FC,vulcan salute: medium-light skin tone,U0001F596 U0001F3FC,U0001F596 U0001F3FC
U+1F596 U+1F3FD,vulcan salute: medium skin tone,U0001F596 U0001F3FD,U0001F596 U0001F3FD
U+1F596 U+1F3FE,vulcan salute: medium-dark skin tone,U0001F596 U0001F3FE,U0001F596 U0001F3FE
U+1F596 U+1F3FF,vulcan salute: dark skin tone,U0001F596 U0001F3FF,U0001F596 U0001F3FF
U+1F918,sign of the horns,U0001F918,U0001F918
U+1F918 U+1F3FB,sign of the horns: light skin tone,U0001F918 U0001F3FB,U0001F918 U0001F3FB
U+1F918 U+1F3FC,sign of the horns: medium-light skin tone,U0001F918 U0001F3FC,U0001F918 U0001F3FC
U+1F918 U+1F3FD,sign of the horns: medium skin tone,U0001F918 U0001F3FD,U0001F918 U0001F3FD
U+1F918 U+1F3FE,sign of the horns: medium-dark skin tone,U0001F918 U0001F3FE,U0001F918 U0001F3FE
U+1F918 U+1F3FF,sign of the horns: dark skin tone,U0001F918 U0001F3FF,U0001F918 U0001F3FF
U+1F919,call me hand,U0001F919,U0001F919
U+1F919 U+1F3FB,call me hand: light skin tone,U0001F919 U0001F3FB,U0001F919 U0001F3FB
U+1F919 U+1F3FC,call me hand: medium-light skin tone,U0001F919 U0001F3FC,U0001F919 U0001F3FC
U+1F919 U+1F3FD,call me hand: medium skin tone,U0001F919 U0001F3FD,U0001F919 U0001F3FD
U+1F919 U+1F3FE,call me hand: medium-dark skin tone,U0001F919 U0001F3FE,U0001F919 U0001F3FE
U+1F919 U+1F3FF,call me hand: dark skin tone,U0001F919 U0001F3FF,U0001F919 U0001F3FF
U+1F590,raised hand with fingers splayed,U0001F590,U0001F590
U+1F590 U+1F3FB,raised hand with fingers splayed: light skin tone,U0001F590 U0001F3FB,U0001F590 U0001F3FB
U+1F590 U+1F3FC,raised hand with fingers splayed: medium-light skin tone,U0001F590 U0001F3FC,U0001F590 U0001F3FC
U+1F590 U+1F3FD,raised hand with fingers splayed: medium skin tone,U0001F590 U0001F3FD,U0001F590 U0001F3FD
U+1F590 U+1F3FE,raised hand with fingers splayed: medium-dark skin tone,U0001F590 U0001F3FE,U0001F590 U0001F3FE
